Carrier,Region,Start_Date,,,,,,,,,
K3,Domestic,4/1/2004,,,,,,,,,
4T,International,6/1/2004,,,,,,,,,
6H,International,6/1/2004,,,,,,,,,
EK,International,6/1/2004,,,,,,,,,
OH,Latin America,7/1/2015,,,,,,,,,
OH,Domestic,7/1/2015,,,,,,,,,
MQ,Latin America,4/1/2014,,,,,,,,,
MQ,Domestic,4/1/2014,,,,,,,,,
3M,Domestic,1/1/2012,,,,,,,,,
GL,Domestic,1/1/2006,,,,,,,,,
GL,International,1/1/2006,,,,,,,,,
N8,International,1/1/2016,,,,,,,,,
N8,Domestic,1/1/2016,,,,,,,,,
5V,Domestic,7/1/2013,,,,,,,,,
B6,Latin America,1/1/2005,,,,,,,,,
B6,Domestic,1/1/2005,,,,,,,,,
CSQ,International,1/1/2005,,,,,,,,,
NK,Domestic,1/1/2013,,,,,,,,,
NK,Latin America,1/1/2013,,,,,,,,,
SY,Latin America,1/1/2005,,,,,,,,,
SY,Domestic,1/1/2005,,,,,,,,,
YR,Domestic,10/1/2008,,,,,,,,,
VI,Domestic,10/1/2002,,,,,,,,,
PT,Domestic,4/1/2015,,,,,,,,,
VIQ,International,10/1/2002,,,,,,,,,
AVQ,International,4/1/2005,,,,,,,,,
AYQ,International,4/1/2005,,,,,,,,,
BAQ,International,4/1/2005,,,,,,,,,
BDQ,International,4/1/2005,,,,,,,,,
BIQ,International,4/1/2005,,,,,,,,,
BJQ,International,4/1/2005,,,,,,,,,
F9,Latin America,1/1/2007,,,,,,,,,
F9,Domestic,1/1/2007,,,,,,,,,
LC,International,4/1/2005,,,,,,,,,
2O,Domestic,9/1/2007,,,,,,,,,
C5,Domestic,7/1/2005,,,,,,,,,
M7,International,7/1/2005,,,,,,,,,
U7,International,1/1/2011,,,,,,,,,
U7,Domestic,1/1/2011,,,,,,,,,
WEQ,International,7/1/2005,,,,,,,,,
TH,International,8/1/2005,,,,,,,,,
YX,Atlantic,7/1/2011,,,,,,,,,
YX,Latin America,7/1/2011,,,,,,,,,
YX,Domestic,10/1/2009,,,,,,,,,
ABX,Domestic,1/1/2011,,,,,,,,,
ABX,Atlantic,1/1/2011,,,,,,,,,
ABX,Pacific,1/1/2011,,,,,,,,,
GV,Domestic,1/1/2007,,,,,,,,,
G7,Domestic,1/1/2008,,,,,,,,,
MOQ,International,1/1/2004,,,,,,,,,
CAQ,International,9/1/2005,,,,,,,,,
Z3,Domestic,4/1/2016,,,,,,,,,
HBQ,Domestic,1/1/2005,,,,,,,,,
TIQ,International,12/1/2005,,,,,,,,,
EAQ,International,2/1/2006,,,,,,,,,
02Q,International,5/1/2006,,,,,,,,,
OR,International,1/1/2006,,,,,,,,,
6R,International,2/1/2007,,,,,,,,,
Y2,International,5/1/2006,,,,,,,,,
WAP,International,7/1/2006,,,,,,,,,
04Q,Domestic,8/1/2006,,,,,,,,,
4M,International,8/1/2006,,,,,,,,,
NJE,International,12/1/2006,,,,,,,,,
EY,International,10/1/2006,,,,,,,,,
3F,Domestic,12/1/2006,,,,,,,,,
Y7,International,1/1/2007,,,,,,,,,
9T,International,12/1/2006,,,,,,,,,
37,International,10/1/2006,,,,,,,,,
A0,International,1/1/2007,,,,,,,,,
9N,International,10/1/2006,,,,,,,,,
VSA,International,2/1/2007,,,,,,,,,
06Q,International,1/1/2007,,,,,,,,,
0J,International,2/1/2007,,,,,,,,,
07Q,International,1/1/2007,,,,,,,,,
9V,International,2/1/2007,,,,,,,,,
0Q,International,1/1/2007,,,,,,,,,
IGA,International,5/1/2007,,,,,,,,,
SVW,International,5/1/2007,,,,,,,,,
09Q,Domestic,1/1/2016,,,,,,,,,
CP,Domestic,1/1/2010,,,,,,,,,
CP,Latin America,1/1/2010,,,,,,,,,
VX,Domestic,1/1/2013,,,,,,,,,
VX,Latin America,1/1/2013,,,,,,,,,
0BQ,International,4/1/2007,,,,,,,,,
0CQ,International,9/1/2007,,,,,,,,,
JI,International,3/1/2007,,,,,,,,,
CAZ,International,11/1/2007,,,,,,,,,
0HQ,International,1/1/2007,,,,,,,,,
PD,International,3/1/2008,,,,,,,,,
WG,International,9/1/2007,,,,,,,,,
MW,Domestic,1/1/2013,,,,,,,,,
S6,International,2/1/2008,,,,,,,,,
0LQ,International,1/1/2007,,,,,,,,,
0MQ,Domestic,6/1/2008,,,,,,,,,
S3,International,1/1/2007,,,,,,,,,
9W,International,1/1/2007,,,,,,,,,
QR,International,6/1/2007,,,,,,,,,
Y8,International,6/1/2006,,,,,,,,,
HU,International,6/1/2008,,,,,,,,,
JAG,International,4/1/2008,,,,,,,,,
TRA,International,7/1/2008,,,,,,,,,
FP,International,1/1/2008,,,,,,,,,
0QQ,International,10/1/2006,,,,,,,,,
0RQ,International,1/1/2006,,,,,,,,,
5L,International,4/1/2008,,,,,,,,,
0UQ,International,1/1/2009,,,,,,,,,
VB,International,1/1/2008,,,,,,,,,
0VQ,International,5/1/2009,,,,,,,,,
Y4,International,7/1/2009,,,,,,,,,
0WQ,Domestic,7/1/2009,,,,,,,,,
JQ,International,10/1/2006,,,,,,,,,
AB,International,6/1/2009,,,,,,,,,
SE,International,6/1/2009,,,,,,,,,
BES,International,10/1/2002,,,,,,,,,
L7,International,4/1/2009,,,,,,,,,
0YQ,International,1/1/2009,,,,,,,,,
X4,Domestic,1/1/2010,,,,,,,,,
VA,International,1/1/2009,,,,,,,,,
PM,Domestic,4/1/2009,,,,,,,,,
PM,International,4/1/2009,,,,,,,,,
PM,System,4/1/2009,,,,,,,,,
CRV,International,5/1/2010,,,,,,,,,
10Q,International,4/1/2010,,,,,,,,,
7I,International,10/1/2010,,,,,,,,,
LJ,International,4/1/2010,,,,,,,,,
PP,International,11/1/2009,,,,,,,,,
12Q,International,4/1/2010,,,,,,,,,
3S,International,5/1/2009,,,,,,,,,
IG,International,7/1/2010,,,,,,,,,
SS,International,6/1/2012,,,,,,,,,
13Q,International,1/1/2010,,,,,,,,,
14Q,International,1/1/2010,,,,,,,,,
15Q,International,1/1/2010,,,,,,,,,
17Q,International,8/1/2010,,,,,,,,,
BC,International,9/1/2010,,,,,,,,,
4C,International,11/1/2009,,,,,,,,,
W3,International,11/1/2009,,,,,,,,,
1AQ,Domestic,4/1/2015,,,,,,,,,
