passangers,freight,mail,airline_id,year,month,class,ramp_to_ramp,air_time,origin_airport_id,destination_airport_id,aircraft_type,carrier,flight_id
5414,0,0,20409,2017,6,F,8730,7221,12478,11292,699,B6,1402
4522,1599,65,19790,2017,6,F,3343,2551,11292,14869,694,DL,1403
5168,11066,1286,19790,2017,6,F,3023,2141,14869,11292,694,DL,1404
1961,0,0,20500,2017,6,F,4383,3619,10423,11292,631,G7,1405
1743,0,0,20304,2017,6,F,5275,4274,11292,11193,631,OO,1406
4612,2301,13670,19977,2017,6,F,8321,7568,10721,11292,694,UA,1407
5316,477,8776,19977,2017,6,F,6065,5335,11042,11292,634,UA,1408
3890,214,4306,19977,2017,6,F,4399,3742,11292,14908,698,UA,1409
5118,2890,0,19393,2017,6,F,4041,3350,11292,10423,614,WN,1410
5247,5419,0,19393,2017,6,F,7284,6571,11292,10721,614,WN,1411
5184,5345,0,19393,2017,6,F,3486,2917,11292,11259,614,WN,1412
4319,4652,0,19393,2017,6,F,4053,3534,13891,11292,612,WN,1413
5312,17855,0,19393,2017,6,F,8048,6949,14100,11292,614,WN,1414
4049,7127,0,19393,2017,6,F,3774,3246,14570,11292,612,WN,1415
1891,0,0,20452,2017,6,F,5091,4255,11292,10599,677,YX,1416
4642,0,0,20436,2017,6,F,4425,3685,11292,13342,698,F9,1417
4263,0,0,20436,2017,6,F,5007,4061,13342,11292,698,F9,1418
0,2592196,27897,19917,2017,6,G,4935,4330,14730,11292,626,5X,1419
1445,0,0,20304,2017,6,F,3039,2289,11292,11775,629,OO,1420
2034,0,0,20304,2017,6,F,4792,3752,12892,11109,673,OO,1421
5265,530,59489,19977,2017,6,F,6306,5490,10397,11292,634,UA,1422
3938,1118,52500,19977,2017,6,F,3104,2419,13871,11292,698,UA,1423
5318,1325,0,19393,2017,6,F,5598,4851,11292,10397,614,WN,1424
5196,7280,0,19393,2017,6,F,4849,4203,13342,11292,614,WN,1425
4278,3555,0,19393,2017,6,F,3470,2857,15376,11292,612,WN,1426
2209,0,0,20452,2017,6,F,5324,4588,12339,11292,677,YX,1427
5468,0,0,20436,2017,6,F,3036,2324,11292,13198,694,F9,1428
5574,0,0,20436,2017,6,F,3548,2783,13198,11292,694,F9,1429
0,2861762,0,20107,2017,6,G,4790,3891,13244,11292,740,FX,1430
1458,0,0,20237,2017,6,F,4078,3300,11292,12992,675,AX,1431
1207,0,0,20237,2017,6,F,3811,3040,11637,11292,675,AX,1432
4423,1286,39,19805,2017,6,F,3852,2913,11292,11298,614,AA,1433
1613,0,0,20304,2017,6,F,4141,3246,15376,11292,629,OO,1434
3904,320,0,19977,2017,6,F,4440,3709,11292,13342,698,UA,1435
4826,9985,6089,19977,2017,6,F,4709,3949,11292,13930,694,UA,1436
5667,936,30119,19977,2017,6,F,4298,3322,11298,11292,634,UA,1437
5383,6857,0,19393,2017,6,F,7572,6824,11292,11697,614,WN,1438
5791,0,0,20436,2017,6,F,6357,5390,11433,11292,694,F9,1439
1381,0,0,20237,2017,6,F,2594,1937,11292,13029,675,AX,1440
5660,4926,0,19790,2017,6,F,5559,4811,11292,11433,888,DL,1441
1473,0,0,20304,2017,6,F,2439,1604,11292,14457,629,OO,1442
2369,0,0,20304,2017,6,F,6186,5301,11986,11292,673,OO,1443
4739,3690,11064,19977,2017,6,F,3730,2946,11292,11298,694,UA,1444
3967,2474,10332,19977,2017,6,F,4028,3109,11292,11298,698,UA,1445
4905,248,0,19977,2017,6,F,8453,7373,12953,11292,694,UA,1446
3980,235,0,19977,2017,6,F,4981,4290,13342,11292,698,UA,1447
5720,598,6559,19977,2017,6,F,4823,3969,14679,11292,634,UA,1448
4076,12,810,19977,2017,6,F,4599,3872,14908,11292,698,UA,1449
5859,5383,0,19393,2017,6,F,4983,4254,11292,10693,614,WN,1450
5678,7416,0,19393,2017,6,F,7091,6310,11292,14100,614,WN,1451
4406,3868,0,19393,2017,6,F,6138,5525,11433,11292,612,WN,1452
4586,2922,0,19393,2017,6,F,4302,3672,11884,11292,612,WN,1453
5159,5450,0,19393,2017,6,F,7682,7042,12264,11292,614,WN,1454
5689,7865,0,19393,2017,6,F,4898,4266,14057,11292,614,WN,1455
5851,0,0,20436,2017,6,F,5764,4799,11292,11433,694,F9,1456
0,2576162,0,20107,2017,6,G,4926,4147,11292,12339,626,FX,1457
0,3056879,0,20107,2017,6,G,5298,4601,12339,11292,626,FX,1458
1561,0,0,20237,2017,6,F,2701,2001,10140,11292,675,AX,1459
1694,0,0,20237,2017,6,F,2755,1957,11292,10140,675,AX,1460
1456,0,0,20237,2017,6,F,3577,2866,11292,11540,675,AX,1461
6096,2003,1784,19790,2017,6,F,6050,5287,11292,10397,888,DL,1462
2229,0,0,20500,2017,6,F,6388,5509,11267,11292,631,G7,1463
1487,0,0,20304,2017,6,F,5408,4377,11109,13930,629,OO,1464
1519,0,0,20304,2017,6,F,3682,2803,11292,13158,629,OO,1465
1546,0,0,20304,2017,6,F,3616,2809,11775,11292,629,OO,1466
1418,0,0,20304,2017,6,F,4208,3403,15919,11292,629,OO,1467
5509,3509,21074,19977,2017,6,F,5772,5082,11292,11042,614,UA,1468
4873,2797,22176,19977,2017,6,F,9160,7881,11618,11292,694,UA,1469
4411,20632,0,19393,2017,6,F,5435,4701,11292,14771,614,WN,1470
2188,0,0,20452,2017,6,F,4877,3992,11109,12266,677,YX,1471
1612,0,0,20237,2017,6,F,4225,3266,11540,11292,675,AX,1472
0,2547707,24458,19917,2017,6,G,5626,4967,14730,11292,691,5X,1473
6261,14700,15768,19790,2017,6,F,6940,5956,10397,11292,888,DL,1474
4559,3415,159,19790,2017,6,F,8209,7326,11292,12478,698,DL,1475
4346,7666,3989,19790,2017,6,F,9777,7978,12478,11292,698,DL,1476
2012,0,0,20500,2017,6,F,2512,1800,14457,11292,631,G7,1477
1585,0,0,20304,2017,6,F,4034,3194,13158,11292,629,OO,1478
6129,963,43297,19977,2017,6,F,8392,7529,10821,11292,634,UA,1479
5611,5066,49414,19977,2017,6,F,4055,3206,11292,11298,634,UA,1480
4159,189,0,19977,2017,6,F,5059,4362,11292,11986,698,UA,1481
5164,854,17563,19977,2017,6,F,7800,6991,11292,13204,694,UA,1482
4461,758,13284,19977,2017,6,F,3006,2287,11292,13871,698,UA,1483
5570,1118,47024,19977,2017,6,F,9412,8153,11618,11292,614,UA,1484
