"PASSENGERS","FREIGHT","MAIL","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,0.00,0.00,1413.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14576,1457604,34576,"ROC","Rochester, NY","NY","36","New York",22,2017,2,6,3,"F",
0.00,0.00,0.00,1014.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,13256,1325602,33256,"MFE","Mission/McAllen/Edinburg, TX","TX","48","Texas",74,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,3,"F",
0.00,0.00,0.00,967.00,"UA",19977,"United Air Lines Inc.","10877","P","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14771,1477102,32457,"SFO","San Francisco, CA","CA","06","California",91,2017,2,6,2,"F",
0.00,0.00,0.00,903.00,"27Q",21652,"Jet Aviation Flight Services, Inc.","01194","D","27Q","Jet Aviation Flight Services, Inc.",1,1,10325,1032504,30325,"APA","Denver, CO","CO","08","Colorado",82,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois",41,2017,2,6,2,"L",
0.00,0.00,0.00,1166.00,"27Q",21652,"Jet Aviation Flight Services, Inc.","01194","D","27Q","Jet Aviation Flight Services, Inc.",1,1,11066,1106603,31066,"CMH","Columbus, OH","OH","39","Ohio",44,10325,1032504,30325,"APA","Denver, CO","CO","08","Colorado",82,2017,2,6,3,"L",
0.00,35960.00,0.00,160.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,10140,1014003,30140,"ABQ","Albuquerque, NM","NM","35","New Mexico",86,11413,1141304,30285,"DRO","Durango, CO","CO","08","Colorado",82,2017,2,6,1,"G",
0.00,738980.00,0.00,626.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,10194,1019403,30194,"AFW","Dallas/Fort Worth, TX","TX","48","Texas",74,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,2,"G",
0.00,125368.00,0.00,207.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11109,1110902,30189,"COS","Colorado Springs, CO","CO","08","Colorado",82,11921,1192102,31921,"GJT","Grand Junction, CO","CO","08","Colorado",82,2017,2,6,1,"G",
0.00,576847.00,0.00,854.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11109,1110902,30189,"COS","Colorado Springs, CO","CO","08","Colorado",82,13244,1324402,33244,"MEM","Memphis, TN","TN","47","Tennessee",54,2017,2,6,2,"G",
0.00,38466.00,0.00,172.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11122,1112203,31122,"CPR","Casper, WY","WY","56","Wyoming",88,12094,1209402,34699,"HDN","Hayden, CO","CO","08","Colorado",82,2017,2,6,1,"G",
